All,Todo,module,Magento_AdminGws
None,Ninguno,module,Magento_AdminGws
"Allowed Scopes","Vistas permitidas",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Necesita más permisos para eliminar este artículo(s): %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Hay reglas que se han cambiado pero no se aplicaron. Sólo los usuarios con acceso exclusivo pueden aplicar las reglas.",module,Magento_AdminGws
"Please assign this entity to a store view.","Por favor asigne esta entidad a una vista de la tienda.",module,Magento_AdminGws
"You can create an order in an active store only.","Puede crear un pedido en una tienda activa únicamente.",module,Magento_AdminGws
"Please assign this item to a store view.","Por favor, asigna una vista de tienda a éste elemento.",module,Magento_AdminGws
"You need more permissions to save this item.","Necesita más permisos para guardar este artículo.",module,Magento_AdminGws
"You need more permissions to delete this item.","Necesita más permisos para eliminar este artículo.",module,Magento_AdminGws
"You need more permissions to view this item.","Necesita más permisos para ver este artículo.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Especifique al menos un sitio web o un grupo de tienda.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Necesita más permisos para establecer todos los ámbitos en un rol.",module,Magento_AdminGws
"Incorrect website ID: %1","ID de sitio incorrecto: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Se necesitan más permisos para acceder al sitio web ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","ID de tienda incorrecta: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Necesita más permisos para guardar esta configuración.",module,Magento_AdminGws
"Role Scopes","Alcance del role",module,Magento_AdminGws
Custom,Personalizado,module,Magento_AdminGws
"Read Details","Leer detalles",module,Magento_AdminNotification
"Mark as Read","Marcar como leído",module,Magento_AdminNotification
"Are you sure?","¿Seguro que quieres continuar?",module,Magento_AdminNotification
Remove,Eliminar,module,Magento_AdminNotification
"Messages Inbox","Bandeja de entrada",module,Magento_AdminNotification
"You have %1 new system messages","Tiene %1 nuevos mensajes del sistema",module,Magento_AdminNotification
"You have %1 new system message","Tiene %1 nuevo mensaje del sistema",module,Magento_AdminNotification
"Incoming Message","Mensaje entrante",module,Magento_AdminNotification
close,cerrar,module,Magento_AdminNotification
"Read details","Leer detalles",module,Magento_AdminNotification
Notifications,Notificaciones,module,Magento_AdminNotification
"The message has been marked as Read.","El mensaje se ha marcado como leído.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","No pudimos marcar la notificación como leída debido a un error.",module,Magento_AdminNotification
"Please select messages.","Seleccione mensajes.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) se han marcado como leídos.",module,Magento_AdminNotification
"The message has been removed.","El mensaje ha sido eliminado.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","No hemos podido quitar los mensajes debido a un error.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Total de %1 registro(s) se han eliminado.",module,Magento_AdminNotification
"1 Hour","1 hora",module,Magento_AdminNotification
"2 Hours","2 horas",module,Magento_AdminNotification
"6 Hours","6 horas",module,Magento_AdminNotification
"12 Hours","12 horas",module,Magento_AdminNotification
"24 Hours","24 horas",module,Magento_AdminNotification
critical,crítico,module,Magento_AdminNotification
major,principal,module,Magento_AdminNotification
minor,secundario,module,Magento_AdminNotification
notice,aviso,module,Magento_AdminNotification
"Wrong message type","Tipo de mensaje incorrecto",module,Magento_AdminNotification
